ID,Program_Area,Program_Name,Fiscal_Year,Activity_Code,Grant_Number,Grantee_Name,State,County,Congressional_District,Grantee_Class,Awardee_Amount,Grantee_Contact_Details
3506,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2018,T77,T77MC25732,THE CHILDRENS HOSPITAL LOS ANGELES,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",187115,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
3507,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH),2018,T71,T71MC30799,THE CHILDRENS HOSPITAL LOS ANGELES,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",437941,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
3508,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC00008,THE CHILDRENS HOSPITAL LOS ANGELES,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",724649,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
3509,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2018,R40,R40MC29451,"RAND CORPORATION, THE",CA,Los Angeles,CA-33,"Corporate Entity, Federal Tax Exempt",289305,"1776 Main St  Santa Monica, CA 90401-3208 "
3510,Maternal and Child Health,MCH Research Network Programs,2018,UA6,UA6MC19803,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,131000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3511,Maternal and Child Health,Maternal and Child Health Public Health Training Program,2018,T76,T76MC00014,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,174412,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3512,Maternal and Child Health,Autism Intervention Research Networks,2018,UA3,UA3MC11055,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,1999996,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3513,Maternal and Child Health,MCH Research Network Programs,2018,UA6,UA6MC32492,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,1000000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3514,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC30114,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,452906,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3515,Maternal and Child Health,MCH Pipeline Training Program,2018,T16,T16MC06956,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,154999,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3516,Maternal and Child Health,Maternal and Child Health Nutrition Training Program,2018,T79,T79MC00013,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Los Angeles,CA-33,U.S. Government Entity,281227,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
3517,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC26773,Children's Healthcare of California,CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",47120,"1201 W La Veta Ave  Orange, CA 92868-4203 "
3518,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS),2018,H30,H30MC24045,"Center For Comprehensive Care and Diagnosis of Inherited Blood Disorders, The",CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",500000,"2670 N Main St Ste 150  Santa Ana, CA 92705-6658 "
3519,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC26778,OneOC,CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",47127,"1901 E 4th St Ste 100  Santa Ana, CA 92705-3918 "
3520,Maternal and Child Health,Sickle Cell Treatment Demonstration Program,2018,U1E,U1EMC27862,"Center For Comprehensive Care and Diagnosis of Inherited Blood Disorders, The",CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",347436,"2670 N Main St Ste 150  Santa Ana, CA 92705-6658 "
3521,Maternal and Child Health,MCHB State Systems Development Initiative,2018,H18,H18MC24474,Department of Health Care Services,CA,Sacramento,CA-06,U.S. Government Entity,100000,"1501 Capitol Ave  Sacramento, CA 95814-5005 "
3522,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC00095,"EDUCATION, CALIFORNIA DEPARTMENT OF",CA,Sacramento,CA-06,U.S. Government Entity,59780,"1430 N St Ste 5602  Sacramento, CA 95814-5901 "
3523,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31474,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CA,Sacramento,CA-06,U.S. Government Entity,39725961,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
3524,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2018,X10,X10MC32179,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CA,Sacramento,CA-06,U.S. Government Entity,21384282,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
3525,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC07874,"EMERGENCY MEDICAL SERVICES AUTHORITY, CA",CA,Sacramento,CA-07,U.S. Government Entity,130000,"10901 Gold Center Dr Ste 400  Rancho Cordova, CA 95670-6073 "
3526,Maternal and Child Health,Children's Oral Healthcare Access Program,2018,H47,H47MC28480,"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",CA,Sacramento,CA-06,U.S. Government Entity,250000,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
3527,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2018,H49,H49MC27828,Project Concern International,CA,San Diego,CA-52,"Corporate Entity, Federal Tax Exempt",1892633,"5151 Murphy Canyon Rd Ste 320  San Diego, CA 92123-4339 "
3528,Maternal and Child Health,Providing support for the Collabortive Improvement and Innovation Network (CoIIN) to Reduce Infant M,2018,UF3,UF3MC31238,Project Concern International,CA,San Diego,CA-52,"Corporate Entity, Federal Tax Exempt",500000,"5151 Murphy Canyon Rd Ste 320  San Diego, CA 92123-4339 "
3529,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2018,T77,T77MC25734,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,San Diego,CA-49,"Corporate Entity, Federal Tax Exempt",24379,"9500 Gilman Dr Dept 621  La Jolla, CA 92093-0621 "
3530,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2018,R40,R40MC29452,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,San Diego,CA-49,"Corporate Entity, Federal Tax Exempt",299076,"9500 Gilman Dr Dept 621  La Jolla, CA 92093-0621 "
3531,Maternal and Child Health,Family Professional Partnership/CSHCN,2018,H84,H84MC07943,SUPPORT FOR FAMILIES OF CHILDREN WITH DISABILITIES,CA,San Francisco,CA-12,"Corporate Entity, Federal Tax Exempt",96750,"1663 Mission St Ste 700  San Francisco, CA 94103-2489 "
3532,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC26777,"Regents of the University of California, San Francisco, The",CA,San Francisco,CA-12,U.S. Government Entity,47127,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
3533,Maternal and Child Health,MCH Research Network Programs,2018,UA6,UA6MC27378,"Regents of the University of California, San Francisco, The",CA,San Francisco,CA-12,U.S. Government Entity,320000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
3534,Maternal and Child Health,Training CED/COR Pediatric and Child Psychiatry,2018,T20,T20MC21952,"Regents of the University of California, San Francisco, The",CA,San Francisco,CA-12,U.S. Government Entity,11672,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
3535,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH),2018,T71,T71MC00003,"Regents of the University of California, San Francisco, The",CA,San Francisco,CA-12,U.S. Government Entity,437942,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
3536,Maternal and Child Health,State Adolescent and Young Adult Health Capacity Building Program,2018,U45,U45MC27709,"Regents of the University of California, San Francisco, The",CA,San Francisco,CA-12,U.S. Government Entity,1150000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
3537,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2018,T77,T77MC09796,"Leland Stanford Junior University, The",CA,Santa Clara,CA-18,"Corporate Entity, Federal Tax Exempt",187115,"450 Serra Mall  Stanford, CA 94305-2004 "
3538,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC28291,SANTA ROSA COMMUNITY HEALTH CENTERS,CA,Sonoma,CA-05,"Corporate Entity, Federal Tax Exempt",50000,"3569 Round Barn Cir  Santa Rosa, CA 95403-5781 "
3539,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2018,T77,T77MC25733,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",187115,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
3540,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC30113,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",452906,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
3541,Maternal and Child Health,EMSC Demonstration Grants,2018,H3A,H3AMC24073,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",198783,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
3542,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN),2018,U03,U03MC00001,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",599911,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
3543,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC26774,Kids First Health Care,CO,Adams,CO-07,"Corporate Entity, Federal Tax Exempt",47127,"4675 E 69th Ave  Commerce City, CO 80022-2343 "
3544,Maternal and Child Health,Autism Field-Initiated Innovative Research Studies Program,2018,R41,R41MC31075,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,293497,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3545,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2018,T77,T77MC25731,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,187115,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3546,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC11044,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,713156,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3547,Maternal and Child Health,Reaching Practicing MCH Professionals in Underserved Areas Through Education and Training Program,2018,T04,T04MC26890,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,175866,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3548,Maternal and Child Health,MCH Research Network Programs,2018,UA6,UA6MC31101,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,999999,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3549,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC25317,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,240289,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3550,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC31619,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,130000,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
3551,Maternal and Child Health,Family Professional Partnership/CSHCN,2018,H84,H84MC28442,HIGHPOINTE CENTER,CO,Arapahoe,CO-06,"Corporate Entity, Federal Tax Exempt",96750,"7313 S Alton Way  Centennial, CO 80112-2302 "
3552,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31475,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",CO,Arapahoe,CO-01,U.S. Government Entity,7403844,"4300 E Cherry Creek South Dr  Denver, CO 80246-1523 "
3553,Maternal and Child Health,MCHB State Systems Development Initiative,2018,H18,H18MC00006,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",CO,Arapahoe,CO-01,U.S. Government Entity,100000,"4300 E Cherry Creek South Dr  Denver, CO 80246-1523 "
3554,Maternal and Child Health,Newborn Screening State Evaluation Program,2018,E16,E16MC32310,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",CO,Arapahoe,CO-01,U.S. Government Entity,60000,"4300 E Cherry Creek South Dr  Denver, CO 80246-1523 "
3555,Maternal and Child Health,Pediatric Mental Health Care Access Program,2018,U4C,U4CMC32327,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",CO,Arapahoe,CO-01,U.S. Government Entity,445000,"4300 E Cherry Creek South Dr  Denver, CO 80246-1523 "
3556,Maternal and Child Health,Children's Oral Healthcare Access Program,2018,H47,H47MC28479,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",CO,Arapahoe,CO-01,U.S. Government Entity,250000,"4300 E Cherry Creek South Dr  Denver, CO 80246-1523 "
3557,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2018,H49,H49MC27807,Colorado Nonprofit Development Center,CO,Denver,CO-01,"Corporate Entity, Federal Tax Exempt",702795,"789 N Sherman St Ste 250  Denver, CO 80203-3539 "
3558,Maternal and Child Health,Supporting Maternal and Child Health Innovation in States,2018,U1X,U1XMC31659,NATIONAL CONFERENCE OF STATE LEGISLATURES,CO,Denver,CO-01,Other,400000,"7700 E 1st Pl  Denver, CO 80230-7143 "
3559,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2018,X10,X10MC32180,"HUMAN SERVICES, COLORADO DEPARTMENT OF",CO,Denver,CO-01,U.S. Government Entity,8143045,"1575 N Sherman St  Denver, CO 80203-1702 "
3560,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2018,R40,R40MC31758,COLORADO STATE UNIVERSITY,CO,Larimer,CO-02,U.S. Government Entity,99935,"601 S Howes St  Fort Collins, CO 80521-2807 "
3561,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC00088,"Public Health, Connecticut Department of",CT,Hartford,CT-01,U.S. Government Entity,222582,"410 Capitol Ave  Hartford, CT 06106-1367 "
3562,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2018,H49,H49MC12834,"Public Health, Connecticut Department of",CT,Hartford,CT-01,U.S. Government Entity,711975,"410 Capitol Ave  Hartford, CT 06106-1367 "
3563,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC30115,UNIVERSITY OF CONNECTICUT,CT,Hartford,CT-05,U.S. Government Entity,516283,"263 Farmington Ave  Farmington, CT 06032 "
3564,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2018,X10,X10MC32181,CONNECTICUT OFFICE OF EARLY CHILDHOOD,CT,Hartford,CT-01,U.S. Government Entity,9765192,"450 Columbus Blvd Ste 301  Hartford, CT 06103-1842 "
3565,Maternal and Child Health,MCHB State Systems Development Initiative,2018,H18,H18MC00007,"Public Health, Connecticut Department of",CT,Hartford,CT-01,U.S. Government Entity,100000,"410 Capitol Ave  Hartford, CT 06106-1367 "
3566,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31476,"Public Health, Connecticut Department of",CT,Hartford,CT-01,U.S. Government Entity,4671480,"410 Capitol Ave  Hartford, CT 06106-1367 "
3567,Maternal and Child Health,Training CED/COR Pediatric and Child Psychiatry,2018,T20,T20MC21953,Yale University,CT,New Haven,CT-03,"Corporate Entity, Federal Tax Exempt",14990,"105 Wall St  New Haven, CT 06511-8917 "
3568,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2018,H49,H49MC00095,"COMMUNITY FOUNDATION FOR GREATER NEW HAVEN, INC. THE",CT,New Haven,CT-03,"Corporate Entity, Federal Tax Exempt",1105380,"70 Audubon St  New Haven, CT 06510-1248 "
3569,Maternal and Child Health,Family Professional Partnership/CSHCN,2018,H84,H84MC21663,PARENTS AVAILABLE TO HELP INC,CT,New Haven,CT-03,"Corporate Entity, Federal Tax Exempt",96750,"11 Longview Dr  North Haven, CT 06473-3565 "
3570,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC29430,"Yale New Haven Hospital, Inc.",CT,New Haven,CT-03,"Corporate Entity, Federal Tax Exempt",229986,"20 York St  New Haven, CT 06510-3220 "
3571,Maternal and Child Health,Community-Based Integrated Service Systems (Local/State),2018,H25,H25MC00253,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,426475,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3572,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31477,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,1993981,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3573,Maternal and Child Health,MCHB State Systems Development Initiative,2018,H18,H18MC00008,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,100000,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3574,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2018,X10,X10MC32182,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,4005571,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3575,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC23639,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,184808,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3576,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC07872,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,Kent,DE-00,U.S. Government Entity,130000,"417 Federal St Ste 1  Dover, DE 19901-3635 "
3577,Maternal and Child Health,State Implementation Grants for Improving Services for Children and Youth with ASD,2018,H6M,H6MMC30386,UNIVERSITY OF DELAWARE,DE,New Castle,DE-00,"Corporate Entity, Federal Tax Exempt",420000,"220 Hullihen Hall  Newark, DE 19716-0099 "
3578,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC31602,"NEMOURS FOUNDATION, THE",DE,New Castle,DE-00,"Corporate Entity, Federal Tax Exempt",50000,"1600 Rockland Rd  Wilmington, DE 19803-3607 "
3579,Maternal and Child Health,Family Professional Partnership/CSHCN,2018,H84,H84MC21662,"DELAWARE FAMILY VOICES, INC.",DE,New Castle,DE-00,"Corporate Entity, Federal Tax Exempt",96750,"3301 Englewood Rd  Wilmington, DE 19810-3323 "
3580,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2018,T73,T73MC30116,UNIVERSITY OF DELAWARE,DE,New Castle,DE-00,"Corporate Entity, Federal Tax Exempt",448970,"220 Hullihen Hall  Newark, DE 19716-0099 "
3581,Maternal and Child Health,Pediatric Mental Health Care Access Program,2018,U4C,U4CMC32313,"CHILDREN, YOUTH & THEIR FAMILIES, DELAWARE DEPT OF SERVICES FOR",DE,New Castle,DE-00,U.S. Government Entity,445000,"1825 Faulkland Rd  Wilmington, DE 19805-1121 "
3582,Maternal and Child Health,Family Professional Partnership/CSHCN,2018,H84,H84MC21661,Advocates for Justice and Education Inc.,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",96750,"25 E St NW  Washington, DC 20001-1522 "
3583,Maternal and Child Health,MCH Advanced Education Policy,2018,U02,U02MC31613,Georgetown University (The),DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",700000,"37th & O St NW  Washington, DC 20057-0001 "
3584,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2018,R40,R40MC29453,CHILDREN'S RESEARCH INSTITUTE,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",298704,"111 Michigan Ave NW  Washington, DC 20010-2916 "
3585,Maternal and Child Health,Newborn Screening Family Education Program,2018,UK5,UK5MC32105,"Genetic Alliance, Inc.",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",400000,"4301 Connecticut Ave NW Ste 404  Washington, DC 20008-2369 "
3586,Maternal and Child Health,Building Systems of Services for Children and Youth with Special Health Care Needs,2018,U1T,U1TMC31756,NATIONAL ALLIANCE TO ADVANCE ADOLESCENT HEALTH (THE),DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",500000,"1615 M St NW  Washington, DC 20036-3209 "
3587,Maternal and Child Health,Alliance for Innovation on Maternal and Child Health,2018,UC4,UC4MC28042,"Obstetricians And Gynecologists, American College Of",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",2000000,"409 12th St SW Ste 100  Washington, DC 20024-2185 "
3588,Maternal and Child Health,Infant-Toddler Court Program,2018,U2D,U2DMC32394,"ZERO TO THREE NATIONAL CENTER FOR INFANT, TODDLERS AND FAMILIES INC",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",3000000,"1255 23rd St NW  Washington, DC 20037-1125 "
3589,Maternal and Child Health,Partnership for State Leadership Coop. Agreement- State Public Health Coordinating Center for Autism,2018,UJ0,UJ0MC31068,Association Of Maternal & Child Health Programs Inc,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",275000,"1825 K St NW Ste 250  Washington, DC 20006-1284 "
3590,Maternal and Child Health,MCH Navigator Program,2018,UE8,UE8MC25742,Georgetown University (The),DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",180000,"37th & O St NW  Washington, DC 20057-0001 "
3591,Maternal and Child Health,Supporting Maternal and Child Health Innovation in States,2018,U1X,U1XMC31656,Association Of Maternal & Child Health Programs Inc,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",400000,"1825 K St NW Ste 250  Washington, DC 20006-1284 "
3592,Maternal and Child Health,National Genetics Education and Family Support Center,2018,UH8,UH8MC30771,"Genetic Alliance, Inc.",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",400000,"4301 Connecticut Ave NW Ste 404  Washington, DC 20008-2369 "
3593,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2018,H17,H17MC31603,"Mary's Center For Maternal And Child Care, Inc.",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",50000,"2333 Ontario Rd NW  Washington, DC 20009-2627 "
3594,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN),2018,U03,U03MC00006,CHILDREN'S NATIONAL MEDICAL CENTER,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",650000,"111 Michigan Ave NW  Washington, DC 20010-2916 "
3595,Maternal and Child Health,Providing support for the Collabortive Improvement and Innovation Network (CoIIN) to Reduce Infant M,2018,UF3,UF3MC31237,Association Of Maternal & Child Health Programs Inc,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",500000,"1825 K St NW Ste 250  Washington, DC 20006-1284 "
3596,Maternal and Child Health,Collaborative Improvement and Innovation Network on School-Based Health Services,2018,U61,U61MC31885,SCHOOL-BASED HEALTH ALLIANCE,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",850000,"1010 Vermont Ave NW Ste 600  Washington, DC 20005-4958 "
3597,Maternal and Child Health,Maternal and Child Environmental Health Collaborative Improvement and Innovation Network (CoIIN),2018,UJ9,UJ9MC31105,Association Of Maternal & Child Health Programs Inc,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",849908,"1825 K St NW Ste 250  Washington, DC 20006-1284 "
3598,Maternal and Child Health,Bright Futures for Women’s Health: Standard Practice Guidelines for Well Woman Care,2018,UH0,UH0MC29440,"Obstetricians And Gynecologists, American College Of",DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",949997,"409 12th St SW Ste 100  Washington, DC 20024-2185 "
3599,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC06715,CHILDREN'S NATIONAL MEDICAL CENTER,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",130000,"111 Michigan Ave NW  Washington, DC 20010-2916 "
3600,Maternal and Child Health,Partnership for MCH Leadership Community,2018,U01,U01MC00001,Association Of Maternal & Child Health Programs Inc,DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",1534767,"1825 K St NW Ste 250  Washington, DC 20006-1284 "
3601,Maternal and Child Health,Oral Health,2018,U44,U44MC30806,Georgetown University (The),DC,District of Columbia,DC-98,"Corporate Entity, Federal Tax Exempt",1250000,"37th & O St NW  Washington, DC 20057-0001 "
3602,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2018,X10,X10MC32183,"DISTRICT OF COLUMBIA, GOVERNMENT OF",DC,District of Columbia,DC-98,U.S. Government Entity,1878267,"899 N Capitol St NE  Washington, DC 20002-5686 "
3603,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31478,"DISTRICT OF COLUMBIA, GOVERNMENT OF",DC,District of Columbia,DC-98,U.S. Government Entity,6910703,"899 N Capitol St NE  Washington, DC 20002-5686 "
3604,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2018,H49,H49MC00117,"DISTRICT OF COLUMBIA, GOVERNMENT OF",DC,District of Columbia,DC-98,U.S. Government Entity,1294683,"899 N Capitol St NE  Washington, DC 20002-5686 "
3605,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC00060,"DISTRICT OF COLUMBIA, GOVERNMENT OF",DC,District of Columbia,DC-98,U.S. Government Entity,250000,"899 N Capitol St NE  Washington, DC 20002-5686 "
3606,Maternal and Child Health,MCHB State Systems Development Initiative,2018,H18,H18MC00060,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,FM,Pohnpei,FM-99,Other,26326,"MOGITHIN BUILDING PALIKIR STATION  POHNPEI, FM 96941 "
3607,Maternal and Child Health,Maternal and Child Health Services,2018,B04,B04MC31486,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,FM,Pohnpei,FM-99,Other,517973,"MOGITHIN BUILDING PALIKIR STATION  POHNPEI, FM 96941 "
3608,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2018,H61,H61MC10346,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,FM,Pohnpei,FM-99,Other,216007,"MOGITHIN BUILDING PALIKIR STATION  POHNPEI, FM 96941 "
3609,Maternal and Child Health,EMSC Partnership Grants,2018,H33,H33MC25687,FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,FM,Pohnpei,FM-99,Other,57298,"MOGITHIN BUILDING PALIKIR STATION  POHNPEI, FM 96941 "
