Award_Year,Grantee_Name,Grantee_Address,Grantee_City,Grantee_State_Abbreviation,Grantee_ZIP_Code,Grant_Activity_Code,Grant_Number,Grant_Serial_Number,Project_Period_Start_Date,Grant_Project_Period_End_Date,HRSA_Program_Area_Code,HRSA_Program_Area_Name,Grant_Program_Name,US_Congressional_Representative_Name,Complete_County_Name,Name_of_US_Senator_Number_One,Name_of_US_Senator_Number_Two,Data_Warehouse_Record_Create_Date,Grantee_Type_Description,DUNS_Number,Geocoding_Artifact_Address_Primary_X_Coordinate,Geocoding_Artifact_Address_Primary_Y_Coordinate
2023,IOWA DEPARTMENT OF PUBLIC HEALTH,321 E 12th St,Des Moines,IA,50319-1002,A30,A30MC50001,50001,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Zachary Nunn,Polk County,Chuck Grassley,Joni Ernst,2024/11/04,U.S. Government Entity,808345920.0,-93.6013818,41.59100343
2023,"MENTAL HEALTH, MISSISSIPPI DEPARTMENT OF","239 N Lamar St, Ste 1101",Jackson,MS,39201-1325,U4C,U4CMC32314,32314,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Bennie G. Thompson,Hinds County,Roger F. Wicker,Cindy Hyde-Smith,2024/11/04,U.S. Government Entity,809399926.0,-90.18539299,32.30215453
2023,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",250 Washington Street,Boston,MA,02108-4619,X10,X10MC50307,50307,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Stephen F. Lynch,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,U.S. Government Entity,878298900.0,-71.05787846,42.35814593
2023,PENNSYLVANIA DEPARTMENT OF HEALTH,625 Forster St,Harrisburg,PA,17120-0701,H33,H33MC06717,6717,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Scott Perry,Dauphin County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,U.S. Government Entity,614489839.0,-76.88251779,40.26790786
2023,OHIO SICKLE CELL & HEALTH ASSOC INC,341 S 3rd St STE 200,Columbus,OH,43215-5463,D1J,D1JMC42475,42475,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Joyce Beatty,Franklin County,Sherrod Brown,J. D. Vance,2024/11/04,"Corporate Entity, Federal Tax Exempt",847555984.0,-82.99664417,39.95539761
2023,OKLAHOMA DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES,2000 N Classen Blvd STE 600,Oklahoma City,OK,73106-6016,U4A,U4AMC44250,44250,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Frank D. Lucas,Oklahoma County,James Lankford,Markwayne Mullin,2024/11/04,U.S. Government Entity,933662934.0,-97.53113233,35.4897763
2023,FAMILY VOICES OF ALABAMA INC,1050 Government St,Mobile,AL,36604-2404,H84,H84MC12901,12901,2009/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Jerry L. Carl,Mobile County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,"Corporate Entity, Federal Tax Exempt",787242713.0,-88.05812111,30.68493031
2023,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,101 Blair Dr,Raleigh,NC,27603-2040,U4C,U4CMC32315,32315,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Deborah K. Ross,Wake County,Thom Tillis,Ted Budd,2024/11/04,U.S. Government Entity,809785363.0,-78.66243496,35.77153141
2023,REGENTS OF THE UNIVERSITY OF MICHIGAN,1109 Geddes Ave STE 3300,Ann Arbor,MI,48109-1015,T77,T77MC31740,31740,2018/07/01,2028/06/30,MCHB,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),Debbie Dingell,Washtenaw County,Debbie Stabenow,Gary C. Peters,2024/11/04,U.S. Government Entity,73133571.0,-83.73450018,42.27759555
2023,INDIANA DEPARTMENT OF HEALTH,2 N Meridian St,Indianapolis,IN,46204-3021,H18,H18MC00017,17,1996/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Andre Carson,Marion County,Todd Young,Mike Braun,2024/11/04,U.S. Government Entity,824799407.0,-86.15812145,39.76738666
2023,"SICKLE CELL DISEASE ASSOCIATION OF AMERICA MOBILE CHAPTER, INC.",1453 Spring Hill Ave,Mobile,AL,36604-3212,D1J,D1JMC46836,46836,2022/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Jerry L. Carl,Mobile County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,"Corporate Entity, Federal Tax Exempt",102073350.0,-88.07111876,30.69243559
2023,"NEW HAMPSHIRE COALITION FOR CITIZENS WITH DISABILITIES, INC.",54 Old Suncook Rd,Concord,NH,03301-7317,H84,H84MC09488,9488,2008/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Ann M. Kuster,Merrimack County,Jeanne Shaheen,Margaret Wood Hassan,2024/11/04,"Corporate Entity, Federal Tax Exempt",119759876.0,-71.50770974,43.19088659
2023,"HEALTH, NEW JERSEY DEPARTMENT OF",55 N Willow St,Trenton,NJ,08608-1203,U4C,U4CMC32317,32317,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Bonnie Watson Coleman,Mercer County,Robert Menendez,George S. Helmy,2024/11/04,U.S. Government Entity,806418075.0,-74.76821842,40.2217416
2023,NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,4150 Technology Way,Carson City,NV,89706-2026,H33,H33MC06694,6694,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Mark E. Amodei,Carson City,Catherine Cortez Masto,Jacky Rosen,2024/11/04,U.S. Government Entity,625364849.0,-119.72370895,39.19590536
2023,TEXAS PARENT TO PARENT,1805 Rutherford Ln,Austin,TX,78754-5186,H84,H84MC07993,7993,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Lloyd Doggett,Travis County,John Cornyn,Ted Cruz,2024/11/04,"Corporate Entity, Federal Tax Exempt",115058971.0,-97.68009107,30.33294942
2023,MOUNTAIN STATES HEALTH ALLIANCE,400 N State Of Franklin Rd,Johnson City,TN,37604-6094,H17,H17MC48966,48966,2023/03/01,2028/02/29,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Diana Harshbarger,Washington County,Marsha Blackburn,Bill Hagerty,2024/11/04,"Corporate Entity, Federal Tax Exempt",63189898.0,-82.38646551,36.30828523
2023,AMERICAN ACADEMY OF PEDIATRICS,345 Park Blvd,Itasca,IL,60143-2644,U5D,U5DMC39344,39344,2020/09/01,2025/08/31,MCHB,Maternal and Child Health,Pediatric Research Network Program (U5D),Raja Krishnamoorthi,DuPage County,Richard J. Durbin,Tammy Duckworth,2024/11/04,"Corporate Entity, Federal Tax Exempt",55399364.0,-88.02061285,41.98975005
2023,THE JOHNS HOPKINS UNIVERSITY,3400 N Charles St,Baltimore,MD,21218-2608,U1E,U1EMC27864,27864,2014/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Treatment Demonstration Program (U1E),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,"Corporate Entity, Federal Tax Exempt",1910777.0,-76.61805999,39.33037802
2023,HUMAN SERVICES VERMONT AGENCY OF,280 State Dr,Waterbury,VT,05671-9501,H33,H33MC06729,6729,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Becca Balint,Washington County,Bernard Sanders,Peter Welch,2024/11/04,U.S. Government Entity,809376155.0,-72.75442863,44.33090915
2023,TENNESSEE DISABILITY COALITION,955 Woodland St,Nashville,TN,37206-3753,H84,H84MC00004,4,2002/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),John W. Rose,Davidson County,Marsha Blackburn,Bill Hagerty,2024/11/04,"Corporate Entity, Federal Tax Exempt",7729908.0,-86.75238631,36.17660449
2023,UNIVERSITY OF ALABAMA AT BIRMINGHAM,701 20th St S,Birmingham,AL,35233-2031,A30,A30MC50005,50005,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Terri A. Sewell,Jefferson County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,Other,63690705.0,-86.79955706,33.50553288
2023,The Rhode Island Department of Health,3 Capitol Hl,Providence,RI,02908-5034,H18,H18MC00044,44,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Gabe Amo,Providence County,Jack Reed,Sheldon Whitehouse,2024/11/04,U.S. Government Entity,929922664.0,-71.41460153,41.83381019
2023,KANSAS DEPARTMENT OF HEALTH & ENVIRONMENT,1000 SW Jackson St STE 570,Topeka,KS,66612-1371,X10,X10MC50302,50302,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Jake LaTurner,Shawnee County,Jerry Moran,Roger Marshall,2024/11/04,U.S. Government Entity,175941483.0,-95.67752943,39.04561281
2023,OKLAHOMA STATE DEPARTMENT OF HEALTH,123 Robert S Kerr Ave,Oklahoma City,OK,73102-6406,H18,H18MC00040,40,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Stephanie I. Bice,Oklahoma County,James Lankford,Markwayne Mullin,2024/11/04,U.S. Government Entity,143673015.0,-97.51534988,35.46981375
2023,INDIAN COUNTRY GRASSROOTS SUPPORT,913 N Orchard Ave,Farmington,NM,87401-6099,H84,H84MC32234,32234,2018/09/30,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Teresa Leger Fernandez,San Juan County,Martin Heinrich,Ben Ray Luján,2024/11/04,"Corporate Entity, Federal Tax Exempt",80253356.0,-108.20518487,36.73861441
2023,University of Texas at Austin,110 Inner Campus Dr,Austin,TX,78712-1139,U4L,U4LMC47054,47054,2022/09/30,2025/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access - EMSC Innovation and Improvement Center (U4L),Lloyd Doggett,Travis County,John Cornyn,Ted Cruz,2024/11/04,Other,170230239.0,-97.73935406,30.28660982
2023,THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,100 John S Toll Dr,Stony Brook,NY,11794,T73,T73MC42026,42026,2021/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Nick LaLota,Suffolk County,Charles E. Schumer,Kirsten E. Gillibrand,2024/11/04,"Corporate Entity, Federal Tax Exempt",804878247.0,-73.12257208,40.91660523
2023,SUPPORT FOR FAMILIES OF CHILDREN WITH DISABILITIES,832 Folsom St STE 1001,San Francisco,CA,94107-1142,H84,H84MC07943,7943,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Nancy Pelosi,San Francisco County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",363034604.0,-122.40205843,37.78137303
2023,STATE OF MT DEPT HEALTH AND HUMAN SERVICES,2401 Colonial Drive,Helena,MT,59601-4980,H18,H18MC00030,30,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),"Matthew M. Rosendale, Sr.",Lewis and Clark County,Jon Tester,Steve Daines,2024/11/04,U.S. Government Entity,51659352.0,-111.99679669,46.58779676
2023,BAYLOR COLLEGE OF MEDICINE,1 Baylor Plz,Houston,TX,77030-3411,T77,T77MC49097,49097,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),Al Green,Harris County,John Cornyn,Ted Cruz,2024/11/04,"Corporate Entity, Federal Tax Exempt",51113330.0,-95.39663216,29.71075886
2023,STATE OF ALASKA DEPARTMENT OF HEALTH,350 Main St,Juneau,AK,99801-1149,H33,H33MC06688,6688,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Mary Sattler Peltola,Juneau Borough,Lisa Murkowski,Dan Sullivan,2024/11/04,U.S. Government Entity,809386543.0,-134.41052428,58.30163168
2023,HUMAN SERVICES VERMONT AGENCY OF,280 State Dr,Waterbury,VT,05671-9501,U4A,U4AMC44254,44254,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Becca Balint,Washington County,Bernard Sanders,Peter Welch,2024/11/04,U.S. Government Entity,809376155.0,-72.75442863,44.33090915
2023,ARKANSAS DEPARTMENT OF HEALTH,4815 W Markham St,Little Rock,AR,72205-3866,X10,X10MC50288,50288,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",J. French Hill,Pulaski County,John Boozman,Tom Cotton,2024/11/04,U.S. Government Entity,809873185.0,-92.32638117,34.75053652
2023,ASSOCIATION OF MATERNAL AND CHILD HEALTH PROGRAMS,1825 K St NW STE 250,Washington,DC,20006-1284,U01,U01MC00001,1,2000/09/30,2025/04/30,MCHB,Maternal and Child Health,Partnership for MCH Leadership Community (U01),Eleanor Holmes Norton,District of Columbia,Not Determined,Not Determined,2024/11/04,"Corporate Entity, Federal Tax Exempt",187761408.0,-77.04243629,38.9028695
2023,MORGAN STATE UNIVERSITY,1700 E Cold Spring Ln,Baltimore,MD,21251-0001,R42,R42MC49147,49147,2023/07/01,2025/03/31,MCHB,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,U.S. Government Entity,879941318.0,-76.58494137,39.34590194
2023,FLORIDA DEPARTMENT OF HEALTH,4052 Bald Cypress Way Bin 01,Tallahassee,FL,32399-0001,U4A,U4AMC53363,53363,2024/07/31,2025/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Neal P. Dunn,Leon County,Marco Rubio,Rick Scott,2024/11/04,U.S. Government Entity,364215061.0,-84.233108,30.39055502
2023,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",250 Washington Street,Boston,MA,02108-4619,U9H,U9HMC46905,46905,2022/09/30,2026/09/29,MCHB,Maternal and Child Health,Transforming Pediatrics for Early Childhood (U9H),Stephen F. Lynch,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,U.S. Government Entity,878298900.0,-71.05787846,42.35814593
2023,"HEALTH, WASHINGTON STATE DEPARTMENT OF",101 Israel Rd SE,Tumwater,WA,98501-5570,H33,H33MC06683,6683,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Marilyn Strickland,Thurston County,Patty Murray,Maria Cantwell,2024/11/04,U.S. Government Entity,808883128.0,-122.9061346,46.98538693
2023,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,104 Airport Dr STE 2200,Chapel Hill,NC,27599-5023,T76,T76MC00004,4,2013/06/01,2025/05/31,MCHB,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",Valerie P. Foushee,Orange County,Thom Tillis,Ted Budd,2024/11/04,Other,608195277.0,-79.05737658,35.93160041
2023,DEPARTMENT OF HEALTH WYOMING,2300 Capitol Ave,Cheyenne,WY,82001-3672,H18,H18MC00058,58,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Harriet M. Hageman,Laramie County,John Barrasso,Cynthia M. Lummis,2024/11/04,U.S. Government Entity,809915796.0,-104.81942421,41.13899631
2023,STATE OF WISCONSIN DEPARTMENT OF HEALTH SERVICES,1 W Wilson St,Madison,WI,53703-3445,H18,H18MC00057,57,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Mark Pocan,Dane County,Ron Johnson,Tammy Baldwin,2024/11/04,U.S. Government Entity,36448835.0,-89.38186109,43.07212319
2023,IOWA DEPARTMENT OF PUBLIC HEALTH,321 E 12th St,Des Moines,IA,50319-1002,H4N,H4NMC49268,49268,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),Zachary Nunn,Polk County,Chuck Grassley,Joni Ernst,2024/11/04,U.S. Government Entity,808345920.0,-93.6013818,41.59100343
2023,"UNIVERSITY OF MARYLAND, BALTIMORE",220 Arch St OFC level2,Baltimore,MD,21201-1531,U4C,U4CMC49932,49932,2023/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,U.S. Government Entity,188435911.0,-76.62531893,39.29226309
2023,"SICKLE CELL ASSOCIATION OF SOUTH LOUISIANA, INC.",2301 North Blvd,Baton Rouge,LA,70806-3622,D1J,D1JMC42468,42468,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Garret Graves,East Baton Rouge Parish,Bill Cassidy,John Kennedy,2024/11/04,"Corporate Entity, Federal Tax Exempt",837889542.0,-91.16412712,30.44805642
2023,SICKLE CELL DISEASE ASSOCIATION OF AMERICA,18516 James Couzens Fwy,Detroit,MI,48235-2507,D1J,D1JMC42469,42469,2021/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),Rashida Tlaib,Wayne County,Debbie Stabenow,Gary C. Peters,2024/11/04,"Corporate Entity, Federal Tax Exempt",124022237.0,-83.18203352,42.42688445
2023,ACADEMY HEALTH,1666 K St NW STE 1100,Washington,DC,20006-1215,UJ6,UJ6MC45789,45789,2022/08/01,2027/07/31,MCHB,Maternal and Child Health,Health Care Delivery System Innovations for Children with Medical Complexity (UJ6),Eleanor Holmes Norton,District of Columbia,Not Determined,Not Determined,2024/11/04,"Corporate Entity, Federal Tax Exempt",804535342.0,-77.03802473,38.90219962
2023,"FAMILY, INC",3501 Harry Langdon Blvd STE 150,Council Bluffs,IA,51503-7894,H17,H17MC40189,40189,2021/03/01,2026/02/28,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Randy Feenstra,Pottawattamie County,Chuck Grassley,Joni Ernst,2024/11/04,"Corporate Entity, Federal Tax Exempt",826506995.0,-95.82009999,41.22553401
2023,THE CENTER FOR COMPREHENSIVE CARE & DIAGNOSIS OF INHERITED BLOOD DISORDERS,701 S Parker St,Orange,CA,92868-4720,U1E,U1EMC27862,27862,2014/09/01,2026/08/31,MCHB,Maternal and Child Health,Sickle Cell Treatment Demonstration Program (U1E),J. Luis Correa,Orange County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",961749319.0,-117.85956438,33.77648524
2023,"GLOBAL COMMUNITIES, INC.","7700 Wisconsin Ave, Ste 1100",Bethesda,MD,20814-3589,H49,H49MC52116,52116,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),Jamie Raskin,Montgomery County,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,"Corporate Entity, Federal Tax Exempt",48855415.0,-77.09486334,38.9868928
2023,"University Of California, Los Angeles",10889 Wilshire Blvd,Los Angeles,CA,90024-4201,T79,T79MC00013,13,1993/07/01,2028/06/30,MCHB,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),Brad Sherman,Los Angeles County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,92530369.0,-118.44353853,34.05886011
2023,VIRGINIA DEPARTMENT OF HEALTH,109 Governor St,Richmond,VA,23219-3623,U4C,U4CMC32320,32320,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Jennifer L. McClellan,Richmond City,Mark R. Warner,Tim Kaine,2024/11/04,U.S. Government Entity,602160298.0,-77.43225288,37.53738694
2023,CHILDREN'S HOSPITAL LOS ANGELES,4650 W Sunset Blvd,Los Angeles,CA,90027-6062,T72,T72MC37404,37404,2020/07/01,2025/06/30,MCHB,Maternal and Child Health,Pediatric Pulmonary Centers (T72),Adam B. Schiff,Los Angeles County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",52277936.0,-118.2901523,34.09812254
2023,MARYLAND DEPARTMENT OF HEALTH,201 W Preston St FL 3,Baltimore,MD,21201-2301,H18,H18MC00023,23,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,U.S. Government Entity,143148679.0,-76.62174555,39.30240419
2023,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE","1855 Folsom St, Ste 425",San Francisco,CA,94103-4249,U1A,U1AMC45369,45369,2021/06/03,2026/05/31,MCHB,Maternal and Child Health,Thalassemia (U1A),Nancy Pelosi,San Francisco County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,94878337.0,-122.4154683,37.76727455
2023,VIRGINIA DEPARTMENT OF HEALTH,109 Governor St,Richmond,VA,23219-3623,X10,X10MC50335,50335,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Jennifer L. McClellan,Richmond City,Mark R. Warner,Tim Kaine,2024/11/04,U.S. Government Entity,602160298.0,-77.43225288,37.53738694
2023,GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,590 S Marine Corps Dr STE 219,Tamuning,GU,96913-3532,H18,H18MC23552,23552,2012/02/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),James C. Moylan,Guam,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,778904292.0,144.76468314,13.47868202
2023,TENNESSEE STATE UNIVERSITY,3500 John a Merritt Blvd,Nashville,TN,37209-1500,UR6,UR6MC50352,50352,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),Mark E. Green,Davidson County,Marsha Blackburn,Bill Hagerty,2024/11/04,U.S. Government Entity,108814179.0,-86.82823248,36.16706253
2023,UNIVERSITY OF WISCONSIN SYSTEM,21 N Park St STE 6301,Madison,WI,53715-1218,T73,T73MC00044,44,1989/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Mark Pocan,Dane County,Ron Johnson,Tammy Baldwin,2024/11/04,U.S. Government Entity,161202122.0,-89.40085255,43.06819698
2023,OREGON HEALTH AUTHORITY,500 Summer St NE # E-82,Salem,OR,97301-1064,H33,H33MC06700,6700,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Andrea Salinas,Marion County,Ron Wyden,Jeff Merkley,2024/11/04,U.S. Government Entity,878144021.0,-123.02733014,44.94277379
2023,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE","1855 Folsom St, Ste 425",San Francisco,CA,94103-4249,U4A,U4AMC44234,44234,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Nancy Pelosi,San Francisco County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,94878337.0,-122.4154683,37.76727455
2023,WAYNE STATE UNIVERSITY,5700 Cass Ave STE 4900,Detroit,MI,48202-3692,T73,T73MC30119,30119,2016/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Shri Thanedar,Wayne County,Debbie Stabenow,Gary C. Peters,2024/11/04,"Corporate Entity, Federal Tax Exempt",1962224.0,-83.06994065,42.36183661
2023,DEPARTMENT OF HEALTH NEW MEXICO,1190 S Saint Francis Dr,Santa Fe,NM,87505-4173,U4A,U4AMC44247,44247,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Teresa Leger Fernandez,Santa Fe County,Martin Heinrich,Ben Ray Luján,2024/11/04,U.S. Government Entity,808389274.0,-105.95495466,35.67166028
2023,"BEYOND VISIONS FOUNDATION, INC.",Norre Gade,Charlotte Amalie,VI,00802,H84,H84MC45663,45663,2022/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Stacey E. Plaskett,St. Thomas,Not Determined,Not Determined,2024/11/04,"Corporate Entity, Federal Tax Exempt",147298256.0,-64.92841724,18.34152837
2023,TENNESSEE DEPARTMENT OF HEALTH,710 James Robertson Pkwy,Nashville,TN,37243-1219,X10,X10MC50330,50330,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Mark E. Green,Davidson County,Marsha Blackburn,Bill Hagerty,2024/11/04,U.S. Government Entity,172636268.0,-86.78694632,36.16756117
2023,"Health And Human Services, Maine Department Of",11 State House Sta,Augusta,ME,04333-0011,U4C,U4CMC32912,32912,2019/07/01,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Jared F. Golden,Kennebec County,Susan M. Collins,"Angus S., Jr. King",2024/11/04,U.S. Government Entity,809045594.0,-69.77493145,44.32007202
2023,WASHINGTON STATE HOSPITAL ASSOCIATION,"999 3rd Ave, Ste 1400",Seattle,WA,98104-4041,A30,A30MC50017,50017,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Pramila Jayapal,King County,Patty Murray,Maria Cantwell,2024/11/04,"Corporate Entity, Federal Tax Exempt",71834600.0,-122.33389587,47.60538211
2023,TUSKEGEE UNIVERSITY,1200 W Montgomery Rd,Tuskegee Institute,AL,36088-1923,UR6,UR6MC50341,50341,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),Mike Rogers,Macon County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,Other,128214178.0,-85.70821173,32.42880441
2023,UNIVERSITY OF WYOMING,1000 E University Ave,Laramie,WY,82071-2000,U7A,U7AMC50520,50520,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Harriet M. Hageman,Albany County,John Barrasso,Cynthia M. Lummis,2024/11/04,U.S. Government Entity,69690956.0,-105.58019701,41.3124343
2023,PARENT TO PARENT OF NEW YORK STATE,500 Balltown Rd,Schenectady,NY,12304,H84,H84MC08006,8006,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Paul Tonko,Schenectady County,Charles E. Schumer,Kirsten E. Gillibrand,2024/11/04,"Corporate Entity, Federal Tax Exempt",149653755.0,-73.89344739,42.77779915
2023,DEPARTMENT OF HUMAN SERVICES COLORADO,1575 N Sherman St,Denver,CO,80203-1702,X10,X10MC50290,50290,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Diana DeGette,Denver County,Michael F. Bennet,John W. Hickenlooper,2024/11/04,U.S. Government Entity,878147602.0,-104.98489203,39.74138625
