Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
"HEALTH, NEW JERSEY DEPARTMENT OF",H61MC23641,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
UNIVERSITY OF GUAM,H61MC24883,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Guam,GU,779908151,YL62T9FVJXG3
DEPARTMENT OF STATE HEALTH SERVICES,H61MC26836,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$139,074.00",Travis County,TX,807391511,NFHJD7V9MGN3
DEPARTMENT OF HEALTH,H61MC33903,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$310,000.00",Western District,AS,854993177,JWV8MLNBAGC9
DEPARTMENT OF PUBLIC HEALTH ILLINOIS,H61MC47460,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Sangamon County,IL,806660296,NN66PR7QMLR8
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,H6MMC33235,Maternal and Child Health,State Implementation Grants for Improving Services for Children and Youth with ASD (H6M),H6M,2023,"$360,000.00",Orange County,NC,608195277,D3LHU66KBLD5
PACER CENTER INC,H84MC00005,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Hennepin County,MN,135099547,ZJ4RXDHQ7ZB3
"THE PARENTS' PLACE OF MARYLAND, INC.",H84MC07946,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Anne Arundel County,MD,623058377,VLSPAHP8KFN4
SOUTH DAKOTA PARENT CONNECTION INC,H84MC07994,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Minnehaha County,SD,180875213,JGFZLAE7K9D6
RHODE ISLAND PARENT INFORMATION NETWORK INC,H84MC08002,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Kent County,RI,961028206,HYGAMQ6N48Y3
P.T.I. Nebraska,H84MC08009,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Douglas County,NE,044690688,KXCQHLLP7LD7
UNIVERSITY OF MISSOURI SYSTEM,H84MC09484,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Jackson County,MO,010989619,J9CDGR596MN3
STONE SOUP GROUP,H84MC12893,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Anchorage Borough,AK,154836600,SAB3NVPGGK85
Arkansas Disability Coalition,H84MC12900,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Saline County,AR,557354867,YUD7X7KJMGS4
"FAMILY NETWORK ON DISABILITIES OF FLORIDA, INC.",H84MC21660,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Pinellas County,FL,004750303,W3L1ZZDZKCE1
"ACCESS FOR SPECIAL KIDS RESOURCE CENTER, INC.",H84MC24065,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Polk County,IA,077361439,XNAALWH1EB93
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,H84MC31692,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Monongalia County,WV,191510239,M7PNRH24BBM8
COMMONWEALTH HEALTHCARE CORPORATION,H84MC32237,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Saipan Municipality,MP,854858560,J9ANMNJ3QJM6
Nevada System of Higher Education,H84MC42482,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$86,738.00",Washoe County,NV,146515460,WLDGTNCFFJZ3
"FAMILY VOICES COLORADO, INC.",H84MC45665,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Denver County,CO,084638073,WDNRQNX57QE1
PARENT INFORMATION CENTER OF DELAWARE INC,H84MC45729,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",New Castle County,DE,605347376,LQCMJC33KAG4
TENNESSEE DISABILITY COALITION,H84MC00004,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Davidson County,TN,007729908,MR7NN69H2DJ6
SUPPORT FOR FAMILIES,H84MC07943,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$85,193.00",San Francisco County,CA,363034604,N353JY7M5LB7
TEXAS PARENT TO PARENT,H84MC07993,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Travis County,TX,115058971,WBMKRE9XSHQ3
PARENT EDUCATION & AVOC,H84MC07998,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Allegheny County,PA,361614196,RD3DSPL5PEG2
Parents Reaching Out To Help Incorporated,H84MC08007,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,$1.00,Bernalillo County,NM,168660009,K5HNRLKAV3M6
PAVE,H84MC09369,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$80,405.00",Pierce County,WA,,Z5EPA975L1N6
"NEW HAMPSHIRE COALITION FOR CITIZENS WITH DISABILITIES, INC.",H84MC09488,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$87,052.00",Merrimack County,NH,119759876,QA4BCGLHCL55
"HEALTH & FAMILY SERVICES, KENTUCKY CABINET FOR",H84MC12897,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Franklin County,KY,927049767,LECJQDCLHVE5
OREGON HEALTH & SCIENCE UNIVERSITY,H84MC21658,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Multnomah County,OR,096997515,NPSNT86JKN51
FAMILY VOICES OF WISCONSIN INC,H84MC21690,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Dane County,WI,787912711,M31JMWDRLDA5
CHILDRENS HOSPITAL MEDICAL CENTER,H84MC28443,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Hamilton County,OH,071284913,JZD1HLM2ZU83
DEPARTMENT OF PUBLIC HEALTH &  SOCIAL SERVICES,H84MC32235,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$26,614.00",Guam,GU,855028700,QM41LQWVXCK8
UNIVERSITY OF MONTANA,H84MC32752,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Missoula County,MT,010379790,DAY7Z8ZD48Q3
EXCEPTONAL CHLD ASSISTANCE CENTER,H84MC45664,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Mecklenburg County,NC,614002350,CMV3BL6ZRW48
SOUTHCENTRAL FOUNDATION,H84MC45669,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Anchorage Borough,AK,154870638,SMQ9D8WCGWY9
THE ARC OF ILLINOIS,H84MC06873,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Will County,IL,072310345,CRYECJAP7Z71
"PARENT TO PARENT OF GEORGIA, INC.",H84MC07947,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",DeKalb County,GA,163071798,J25DRQB1CMS5
"UTAH PARENT CENTER, INC.",H84MC07996,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Salt Lake County,UT,166346015,P5D7NJFQ7AY5
"FEDERATION FOR CHILDREN WITH SPECIAL NEEDS, INC., THE",H84MC08005,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$79,342.00",Suffolk County,MA,153929351,KQ5LHCU54N61
FAMILIES HELPING FAMILIES BAYOU LAN,H84MC08043,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Terrebonne Parish,LA,946517182,KW45U1JZS2L8
VIRGINIA COMMONWEALTH UNIVERSITY,H84MC09486,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$9,428.00",Richmond City,VA,105300446,MLQFL4JSSAA9
"Family Connection Of South Carolina, Inc.",H84MC12895,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Richland County,SC,840952576,R832VVEN7AP2
FAMILY VOICES OF ALABAMA INC,H84MC12901,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Mobile County,AL,787242713,FEHHW61HFBJ5
ADVOCATES FOR JUSTICE & EDUCATION INC,H84MC21661,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",District of Columbia,DC,024285756,NZ97MEGN1NM7
University of Wyoming,H84MC24069,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$83,883.00",Albany County,WY,069690956,FDR5YF2K32X5
DEPARTMENT OF HEALTH,H84MC32233,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$78,793.00",Western District,AS,854993177,JWV8MLNBAGC9
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,H84MC32238,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",San Juan Municipio,PR,948108063,KWTAB1GYM4L9
INDIANA FAMILY TO FAMILY INC,H84MC45424,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Marion County,IN,835975061,MSA5S18BBM85
MISSISSIPPI FAMILIES AS ALLIES INC,H84MC45666,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Hinds County,MS,848310892,HH2MAXJZ2GK4
MAINE PARENT FEDERATION INC,H84MC00003,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Kennebec County,ME,948003306,QC1ET5L3YZK8
RAISING SPECIAL KIDS,H84MC07942,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Maricopa County,AZ,932020290,C6BBEYHJU4A9
FAMILY VOICES OF NORTH DAKOTA INC,H84MC07992,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",LaMoure County,ND,118664817,D132R56KXJK8
STATEWIDE PARENT ADVOCACY NETWORK INC,H84MC07997,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Essex County,NJ,884994617,JLYKW5FDPBJ3
PARENT TO PARENT OF NEW YORK STATE,H84MC08006,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$59,008.00",Schenectady County,NY,149653755,FZF6J7MUFMC6
OKLAHOMA FAMILY NETWORK INC,H84MC09368,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Oklahoma County,OK,066869442,ZGNZC6T3MS23
FAMILIES TOGETHER INC,H84MC09487,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Shawnee County,KS,794446948,ELDVZ7S5JFJ3
IDAHO PARENTS UNLIMITED INC,H84MC12896,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Ada County,ID,062600820,LAB8ZL27VD55
VERMONT FAMILY NETWORK,H84MC21657,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Chittenden County,VT,829518195,URWVAKLRK9P7
Parents Available To Help Inc,H84MC21663,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",New Haven County,CT,099498656,MJA9JHRML3U5
MICHIGAN PUBLIC HEALTH INSTITUTE,H84MC26214,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Ingham County,MI,809483670,Y1YNPR94FMH4
INDIAN COUNTRY GRASSROOTS SUPPORT,H84MC32234,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",San Juan County,NM,080253356,DQ76BB87W7T5
"HILOPA'A FAMILY TO FAMILY, INC.",H84MC32515,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Honolulu County,HI,941500956,VC9NHEK5RVY1
"BEYOND VISIONS FOUNDATION, INC.",H84MC45663,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",St. Thomas,VI,147298256,UVN3EBNQ2CB6
MUSCOGEE CREEK NATION,H84MC45667,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),H84,2023,"$89,140.00",Okmulgee County,OK,072406150,KDYABRXCN245
KENNEDY KRIEGER CHILDRENS HOSPITAL INC,T16MC29832,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",T16,2023,"$155,000.00",Baltimore City,MD,064872518,Y7ZCB5ESFN27
University Of North Carolina At Greensboro,T16MC41743,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",T16,2023,"$154,094.00",Guilford County,NC,616152567,C13DF16LC3H4
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,T1CMC35356,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$90,000.00",Fulton County,GA,837322494,MNS7B9CVKDN7
THE UNIVERSITY OF IOWA,T1CMC35360,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$69,968.00",Johnson County,IA,062761671,Z1H9VJS8NG16
BOSTON MEDICAL CENTER CORPORATION,H98MC30371,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Suffolk County,MA,005492160,JZ8RQC4EMDZ5
"Epilepsy Florida, Inc.",H98MC33240,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Miami-Dade County,FL,096575329,G1J6UFVJJTE6
BAYLOR COLLEGE OF MEDICINE,R40MC41746,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program (R40),R40,2023,"$300,000.00",Harris County,TX,051113330,FXKMA43NTV21
MEDICAL UNIVERSITY OF SOUTH CAROLINA THE,R41MC42775,Maternal and Child Health,Autism Secondary Data Analysis Research (SDAR) Program (R41),R41,2023,"$299,576.00",Charleston County,SC,183710748,NHV3GTWSALA7
"Regents of the University of California, San Francisco, The",R42MC49148,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$119,852.00",San Francisco County,CA,094878337,KMH5K9V7S518
MEDICAL UNIVERSITY OF SOUTH CAROLINA THE,R43MC49151,Maternal and Child Health,Autism Secondary Data Analysis Program (R43),R43,2023,"$119,385.00",Charleston County,SC,183710748,NHV3GTWSALA7
THE CLEVELAND CLINIC FOUNDATION,H98MC26260,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Cuyahoga County,OH,017730458,TDGUJ1WA4UJ9
CHILDRENS MERCY HOSPITAL,H98MC33239,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Jackson County,MO,073067480,N52NHWMBZNG5
UNIVERSITY OF KANSAS CENTER FOR RESEARCH INC,R40MC49145,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program (R40),R40,2023,"$300,000.00",Douglas County,KS,076248616,SSUJB3GSH8A5
MORGAN STATE UNIVERSITY,R42MC49147,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$119,966.00",Baltimore City,MD,879941318,KULSKCCZJT27
EMORY UNIVERSITY,R42MC50214,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$119,831.00",DeKalb County,GA,066469933,S352L5PJLMP8
UNIVERSITY OF MASSACHUSETTS,R43MC49154,Maternal and Child Health,Autism Secondary Data Analysis Program (R43),R43,2023,"$119,907.00",Middlesex County,MA,956072490,LTNVSTJ3R6D5
EAST CAROLINA UNIVERSITY,T16MC41740,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",T16,2023,"$154,939.00",Pitt County,NC,607579018,HWPEKM8VFTJ9
University of South Carolina,T16MC41744,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",T16,2023,"$155,000.00",Richland County,SC,041387846,J22LNTMEDP73
"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",T1CMC35357,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$89,729.00",Albany County,NY,152652822,NHH3T1Z96H29
University of South Carolina,T1CMC35361,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$90,000.00",Richland County,SC,041387846,J22LNTMEDP73
"UNIVERSITY OF CALIFORNIA, DAVIS",T77MC25733,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,696.00",Yolo County,CA,047120084,TX2DAGQPENZ5
BAYLOR COLLEGE OF MEDICINE,T77MC49097,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,394.00",Harris County,TX,051113330,FXKMA43NTV21
REGENTS OF THE UNIVERSITY OF MINNESOTA,T79MC00007,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$225,000.00",Hennepin County,MN,555917996,KABJZBBJ4B54
"Regents Of The University Of California, The",T79MC25736,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$225,000.00",Alameda County,CA,124726725,GS3YEVSS12N6
CHILDREN'S NATIONAL MEDICAL CENTER,U1IMC45814,Maternal and Child Health,Regional Pediatric Pandemic Network (U1I),U1I,2023,"$11,150,000.00",District of Columbia,DC,606977783,SHMTBW88LZB5
American Academy Of Pediatrics,U1TMC49104,Maternal and Child Health,Building Systems of Services for Children and Youth with Special Health Care Needs (U1T),U1T,2023,"$1,500,000.00",DuPage County,IL,055399364,DWN9T4FUL313
HEALTHY START INC,U1VMC46317,Maternal and Child Health,Catalysts for Infant Health Equity (U1V),U1V,2023,"$494,861.00",Allegheny County,PA,877692780,CEH6LY369LK1
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,U1VMC46321,Maternal and Child Health,Catalysts for Infant Health Equity (U1V),U1V,2023,"$487,392.00",Franklin County,OH,147212963,EYMJXLN2MFB4
Center For Health Policy Development,U1XMC31658,Maternal and Child Health,Supporting Maternal and Child Health Innovation in States (U1X),U1X,2023,"$399,429.00",Cumberland County,ME,858936156,QE1KC7HTA3L9
American Academy Of Pediatrics,U23MC26252,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (U23),U23,2023,"$614,249.00",DuPage County,IL,055399364,DWN9T4FUL313
SAFE & SOUND,U2CMC42678,Maternal and Child Health,Screening and Interventions for Adverse Childhood Experiences in Primary Care Settings Demonstration (U2C),U2C,2023,"$960,000.00",San Francisco County,CA,022969422,NGRQQH41UWN6
Comagine Health,U2EMC52098,Maternal and Child Health,Integrated Maternal Health Services (U2E),U2E,2023,"$1,799,845.00",King County,WA,153721725,FJRDMGA7BSK6
COMMONWEALTH HEALTHCARE CORPORATION,U4AMC45815,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$405,000.00",Saipan Municipality,MP,854858560,J9ANMNJ3QJM6
AL DEPARTMENT OF MENTAL HEALTH & RET,U4CMC32312,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$781,578.00",Montgomery County,AL,929956324,FDHFBFRM5RQ3
"HEALTH, NEW JERSEY DEPARTMENT OF",U4CMC32317,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$850,000.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,U4CMC32322,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$681,025.00",Lancaster County,NE,808819957,HKQDEXRXGKL1
COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,U4CMC32327,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$700,000.00",Arapahoe County,CO,878208826,Y3WEW9MQ6NH5
"Health And Human Services, Maine Department Of",U4CMC32912,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$714,720.00",Kennebec County,ME,809045594,GJEPWTMKF5A3
Executive Office Of The Governor Of Delaware,U4CMC49929,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$849,999.00",Kent County,DE,103989187,GKQPH6J32LN7
UNIVERSITY OF SOUTH DAKOTA,U4CMC49933,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$592,745.00",Clay County,SD,929930808,U9EDNSCHTBE7
American Academy Of Pediatrics,U4MMC47234,Maternal and Child Health,Pediatric Mental Health Care Access - American Academy of Pediatrics (U4M),U4M,2023,"$2,000,000.00",DuPage County,IL,055399364,DWN9T4FUL313
REGENTS OF THE UNIVERSITY OF MINNESOTA,T71MC00006,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",Hennepin County,MN,555917996,KABJZBBJ4B54
"Children's Hospital of Philadelphia, The",T71MC30798,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",Philadelphia County,PA,073757627,G7MQPLSUX1L4
University Of Alabama At Birmingham,T72MC00001,Maternal and Child Health,Pediatric Pulmonary Centers (T72),T72,2023,"$340,000.00",Jefferson County,AL,063690705,YND4PLMC9AN7
CHILDRENS HOSPITAL LOS ANGELES,T72MC37404,Maternal and Child Health,Pediatric Pulmonary Centers (T72),T72,2023,"$332,241.00",Los Angeles County,CA,052277936,DVL1CMRMWRN9
UNIVERSITY OF MIAMI,T73MC00013,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$863,000.00",Miami-Dade County,FL,052780918,F8THLJQSAF93
"Children's Hospital Corporation, The",T73MC00020,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$720,000.00",Suffolk County,MA,076593722,Z1L9F1MM1RY3
UNIVERSITY OF ROCHESTER,T73MC00029,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Monroe County,NY,041294109,F27KDXZMF9Y8
OREGON HEALTH & SCIENCE UNIVERSITY,T73MC00034,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$813,000.00",Multnomah County,OR,096997515,NPSNT86JKN51
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE,T73MC00039,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$554,000.00",Chittenden County,VT,066811191,Z94KLERAG5V9
UNIVERSITY OF WISCONSIN SYSTEM,T73MC00044,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$738,000.00",Dane County,WI,161202122,LCLSJAGTNZQ7
"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",T73MC06623,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$644,999.00",Wyandotte County,KS,016060860,YXJGGNC5J269
REGENTS OF THE UNIVERSITY OF MINNESOTA,T73MC12835,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$788,000.00",Hennepin County,MN,555917996,KABJZBBJ4B54
UNIVERSITY OF ARIZONA,T73MC20662,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Pima County,AZ,806345617,ED44Y3W6P7B9
"OHIO STATE UNIVERSITY, THE",T73MC24481,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$738,000.00",Franklin County,OH,832127323,DLWBSLWAJWR1
UNIVERSITY OF CONNECTICUT HEALTH CENTER,T73MC30115,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$591,007.00",Hartford County,CT,022254226,H6D6JMXJXDE6
WAYNE STATE UNIVERSITY,T73MC30119,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$552,390.00",Wayne County,MI,001962224,M6K6NTJ2MNE5
University System Of New Hampshire,T73MC33246,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Strafford County,NH,111089470,GBNGC495XA67
THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK,T73MC42025,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$462,992.00",Kings County,NY,040796328,NJ14V2NZYM68
University of Texas At Austin,T73MC42029,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$463,999.00",Travis County,TX,170230239,V6AFQPN18437
"Johns Hopkins University, The",T76MC00003,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$547,250.00",Baltimore City,MD,001910777,FTMTDMBR29C7
"University Of California, Los Angeles",T76MC00014,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$337,716.00",Los Angeles County,CA,092530369,RN64EPNH8JC6
EMORY UNIVERSITY,T76MC28446,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$366,441.00",DeKalb County,GA,066469933,S352L5PJLMP8
"Children's Hospital of Philadelphia, The",T77MC00012,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$306,696.00",Philadelphia County,PA,073757627,G7MQPLSUX1L4
CHILDRENS HOSPITAL LOS ANGELES,T77MC25732,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,696.00",Los Angeles County,CA,052277936,DVL1CMRMWRN9
ALBERT EINSTEIN COLLEGE OF MEDICINE,T77MC33158,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,696.00",Bronx County,NY,081266487,H6N1ZF5HJ2G3
GEORGETOWN UNIVERSITY,U02MC31613,Maternal and Child Health,MCH Advanced Education Policy (U02),U02,2023,"$700,000.00",District of Columbia,DC,049515844,TF2CMKY1HMX9
RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,U03MC28844,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),U03,2023,"$699,999.00",Franklin County,OH,147212963,EYMJXLN2MFB4
THE CHILDREN'S CENTER UTAH,U2ZMC46635,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$849,997.00",Salt Lake County,UT,,HS1NAM6ANQH5
MICHIGAN HEALTH AND HUMAN SERVICES,U2ZMC46639,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$849,783.00",Ingham County,MI,113704139,C2AQVDYYUAS7
PREVENT CHILD ABUSE ARIZONA,U2ZMC46643,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$847,294.00",Yavapai County,AZ,,UTGPTLNLCUR6
